Target compromised, Adana
Target exploited, Adıyaman
Target pwned, Afyonkarahisar
Target infected, Ağrı
Target infiltrated, Amasya
Target possessed, Ankara
Target commandeered, Antalya
Target corrupted, Artvin
Security measures bypassed, Aydın
Payload injected, Balıkesir
Payload delivered, Bilecik
Account compromised, Bingöl
Account cracked, Bitlis
Account exploited, Bolu
Account pwned, Burdur
Account infected, Bursa
Account infiltrated, Çanakkale
Account possessed, Çankırı
Account commandeered, Çorum
Account acquired, Denizli
Augmentations activated, Diyarbakır
Backdoor exploited, Edirne
Backdoor used, Elazığ
Files compromised, Erzincan
Files cracked, Erzurum
Files exploited, Eskişehir
Files pwned, Gaziantep
Files infected, Giresun
Files infiltrated, Gümüşhane
Files possessed, Hakkâri
Files commandeered, Hatay
Files acquired, Isparta
Files corrupted, Mersin
Systems compromised, Istanbul
Systems exploited, İzmir
Systems pwned, Kars
Systems infected, Kastamonu
Systems infiltrated, Kayseri
Keys compromised, Kırklareli
Keys acquired, Kırşehir
Code injected, Kocaeli
Code embedded, Konya
Code used, Kütahya
Code initiated, Malatya
Code planted, Manisa
Code pushed, Kahramanmaraş
Archives compromised, Mardin
Archives cracked, Muğla
Archives exploited, Muş
Archives pwned, Nevşehir
Archives infected, Niğde
Archives infiltrated, Ordu
Archives possessed, Rize
Archives commandeered, Sakarya
Archives drained, Samsun
Archives corrupted, Siirt
Archives acquired, Sinop
Keylogger used, Sivas
Function injected, Tekirdağ
Function used, Tokat
Function planted, Trabzon
Function corrupted, Tunceli
Firewall compromised, Şanlıurfa
Firewall bypassed, Uşak
Firewall cracked, Van
Firewall exploited, Yozgat
Firewall pwned, Zonguldak
Firewall infected, Aksaray
Firewall infiltrated, Bayburt
Authorization activated, Karaman
Authorization engineered, Kırıkkale
Data compromised, Batman
Data cracked, Şırnak
Data infected, Bartın
Data infiltrated, Ardahan
Data possessed, Iğdır
Data acquired, Yalova
Virus injected, Karabük
Virus initiated, Kilis
Virus activated, Osmaniye
Virus planted, Düzce
Worm injected, Sydney
Sql injected, Canberra
Access granted, Melbourne
